elapsedMs,gnssMode,gnssFixAccuracyM,gnssFixAgeMs,gnssSpeedMps,drVelocityEastMps,drVelocityNorthMps,linearAccelMagnitudeMps2,gyroMagnitudeRadPerSec,isStationary,rawLinearAccelMagnitudeMps2,rawGyroMagnitudeRadPerSec
4307,GNSS_AIDED,5.128,416,3.2170138,-1.4099951392043693,-0.43457709575703274,23.169209897341663,4.472096963089624,false,31.58228900830189,1.5166000127792358
4409,GNSS_AIDED,5.128,615,3.2170138,-2.0749946597807063,-1.4368997566762627,25.821378321707726,2.063732591329213,false,34.419276999830686,0.4218057692050934
4508,GNSS_AIDED,5.128,615,3.2170138,-2.203073330002181,-0.8792866391815894,23.73879146810338,2.3143318408741886,false,23.4186744587319,2.6010243892669678
4608,GNSS_AIDED,5.128,816,3.2170138,-0.657977411562318,-0.06255904769300019,7.464800841162704,1.7771679391114663,false,11.29999695114326,4.887621879577637
4708,GNSS_AIDED,5.128,816,3.2170138,-2.6609499252039015,-0.3503829216030586,26.913126729567185,0.9851006294580569,false,42.8427500309932,2.1987087726593018
4807,GNSS_AIDED,5.128,1027,3.2170138,-1.542308556041352,0.1845124639446419,15.49664246607252,1.5875657440116844,false,9.378699126437743,2.8787238597869873
4908,GNSS_AIDED,5.128,1027,3.2170138,-1.5587167939473543,0.38162401462931295,16.512078076878105,0.5869630548192659,false,18.224590086334562,1.7645869255065918
5009,GNSS_AIDED,4.568,228,3.2231905,0.0,0.0,15.642919297878757,0.8103508587430877,true,37.195262405137335,1.5720642805099487
5109,GNSS_AIDED,4.568,228,3.2231905,0.0,0.0,7.779681663664792,0.7231251571265399,true,22.906585355814286,1.4054633378982544
5215,GNSS_AIDED,4.568,430,3.2231905,0.0,0.0,3.2568439309364923,0.6666831090969508,true,9.899086628610725,0.8314254879951477
5315,GNSS_AIDED,4.568,430,3.2231905,0.0,0.0,8.32250127815395,0.5847579127468245,true,13.297119341262926,0.5567183494567871
5413,GNSS_AIDED,4.568,641,3.2231905,0.0,0.0,7.001671675325177,1.6019069803560921,true,19.01061503338105,2.5900261402130127
5515,GNSS_AIDED,4.568,641,3.2231905,0.0,0.0,11.511476669443782,1.4351661874660473,true,22.004359367583483,3.764664888381958
5615,GNSS_AIDED,4.568,842,3.2231905,0.0,0.0,12.481641712029091,1.8213116713175563,true,17.314331612367013,4.371318817138672
5734,GNSS_AIDED,4.568,842,3.2231905,0.0,0.0,12.949791802169313,1.5909111078004192,true,29.661295058977394,1.4108158349990845
5812,GNSS_AIDED,4.568,1051,3.2231905,0.0,0.0,35.45179266308132,1.8686033158187374,true,55.373823990216756,2.1782021522521973
5913,GNSS_AIDED,4.568,1051,3.2231905,0.0,0.0,7.977574552373447,2.451913997802905,true,36.821563640086936,5.679056644439697
6013,GNSS_AIDED,4.043,247,3.5073173,0.0,0.0,2.6298204381630907,1.9409125179903435,true,4.587585806886354,4.264381408691406
6115,GNSS_AIDED,4.043,247,3.5073173,0.0,0.0,4.695913149817891,0.6406915169732703,true,10.092908542202041,0.6084463596343994
6218,GNSS_AIDED,4.043,448,3.5073173,0.0,0.0,12.94373496354134,2.5596702557986424,true,19.53617125499998,5.054354190826416
6314,GNSS_AIDED,4.043,448,3.5073173,0.0,0.0,12.465858760172962,0.6883263578382919,true,20.006619454843403,3.1427903175354004
6415,GNSS_AIDED,4.043,650,3.5073173,0.0,0.0,5.782310818787316,0.4926775921806138,true,2.0770778347434744,1.332363247871399
6517,GNSS_AIDED,4.043,650,3.5073173,0.0,0.0,9.430531949299318,1.3763582875205458,true,20.291970697652683,2.252629041671753
6615,GNSS_AIDED,4.043,850,3.5073173,0.0,0.0,9.555466241434576,1.1481465919412472,true,15.496176955757205,3.1425552368164062
